Player,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16
Augusto Matías Fernández,0.07300628,-0.009350257,0.048531797,-0.06675173,-0.048635695,0.26602688,-0.008196009,0.009652096,-0.046513535,0.05300323,0.21071959,0.27877077,0.001238605,-0.13024667,0.8160576,-0.82297385
Aymen Abdennour,-0.11029083,0.0010592918,0.009537009,-0.14716822,0.020832611,-0.060997184,0.0014394958,-0.018413523,-0.0074181347,0.052842125,0.12976228,0.0623149,0.011497561,-0.11259792,0.9252061,-0.013132461
Aymeric Laporte,0.06770246,0.028334675,-0.024128675,-0.34151092,0.038688604,-0.08289994,0.0037114292,-0.041973673,0.030318728,-0.062007092,0.07611323,-0.17214021,-0.0019023743,-0.0482059,0.8253753,-0.3721833
Aythami Artiles Oliva,0.020354029,0.050182387,-0.0006481819,-0.46260643,0.049700245,-0.35834864,0.015666805,-0.00020714621,0.0080911685,-0.043100294,-0.11481724,-0.12569708,-0.0009780152,0.09258093,1.0032781,-0.2783861
Benoît Trémoulinas,0.12623373,0.0037650962,-0.019883959,0.10307962,0.030128382,-0.6819649,-0.013176595,0.01943905,0.033358652,-0.039704483,-0.23365736,-0.19076914,-0.013463248,0.17619622,0.2449251,-0.42375353
Bernardo José Espinosa Zúñiga,0.823398,0.0068026944,0.023706447,0.10119515,0.005905187,0.17864776,0.0036502539,-0.038282122,-0.0016214489,-0.019926898,0.13589491,0.035306036,-0.00561154,-0.060570445,0.64029133,0.37134993
Beñat Etxebarria Urkiaga,0.25842583,0.035693552,-0.007142769,0.07342355,0.035331044,-0.30101016,0.0035587044,-0.02158104,0.018001238,-0.016954185,-0.13915676,-0.11958308,-0.013407687,0.09028703,0.36946422,-0.893374
Borja González Tomás,0.8035998,0.058680363,0.012831066,-0.40499303,0.00034691932,0.7149922,0.00020416174,-0.031634975,-0.005129451,-0.10135922,-0.0017444151,-0.01965896,0.009521484,0.041880682,-1.16319,0.07368495
Bruno González Cabrera,0.32964313,-0.029710565,0.011309101,-0.14145887,-0.030047044,0.09450191,0.0062828716,-0.022084458,-0.03648341,0.022524001,0.21101055,0.18366307,0.008627521,-0.12730062,0.8064806,0.27789763
Bruno Soriano Llido,-0.13720445,0.050253753,-0.0024997352,-0.15935598,0.044373166,0.20811462,-0.004773782,-0.056246076,0.016317263,0.045657773,0.15877774,-0.02689651,0.0040162015,-0.15882067,0.71878827,-0.7546763
Carl Medjani,0.1090237,0.02204595,-0.0071115037,-0.33111337,0.020867134,-0.45792338,-0.036485676,-0.051903743,0.06903555,-0.062458415,0.02303559,-0.23565666,-0.013895264,-0.033281256,0.648501,0.37073573
Carles Planas Antolínez,0.32343155,0.038835276,0.024823448,-0.014639587,0.02613681,-0.082876764,0.035058167,0.006087033,-0.03926965,0.056757234,-0.14340587,0.009176112,-0.0030991272,0.08881224,0.6216362,-0.44578126
Carlos Alberto Vela Garrido,-0.31617555,-0.017743848,-0.02543657,0.027717043,0.001633975,-0.30450186,-0.0002727019,0.0017209039,0.0070481,-0.011423235,0.029014358,-0.027410977,0.009248261,-0.028110562,-0.7358542,-0.5829276
Carlos Carmona Bonet,0.18944451,-0.06498568,0.0009491917,0.38935214,-0.05362975,-0.095711805,-0.020181436,0.030317515,-0.012608278,0.036376797,0.035977453,0.112716354,-0.0060958723,-0.016303577,-0.30959496,-0.15901183
Carlos Castro García,-0.18466644,-0.0040791337,-0.0039831065,-0.5757433,-0.03156255,0.34782323,-0.0012925101,-0.038302746,-0.022225292,0.0183258,0.24003851,0.11461729,0.005329536,-0.15930067,-0.7409878,0.7818859
Carlos Gurpegi Nausia,0.28973126,-0.0021233947,0.021268385,-0.29862407,-0.0043363725,-0.28205281,-0.00427577,-0.02206569,-1.933958e-06,-0.018572565,0.065552115,-0.025715688,-0.0068986616,-0.015783083,0.9116922,0.23555765
Carlos Henrique Casimiro,0.19100183,0.031806998,0.06248751,-0.4024368,-0.033499457,0.10422349,0.01882363,0.06024969,-0.06909543,-0.019514231,-0.040675934,0.1280524,-0.00020957131,0.13413674,0.37850192,-0.547478
