Player,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16
Antonio Manuel Luna Rodríguez,-0.49740565774931994,-0.6303158845580007,0.3696955372599381,0.3204368400497821,-0.05747235104006416,0.22034591608302392,0.20006291412423063,0.27984547861859377,-0.0015884179289336767,-0.48685444756488716,0.15702728350358794,0.15991327877156958,-0.13197628676557335,0.1345402575118696,-0.019390476386664718,0.05809155460769274
Antonio Rodríguez Martínez,-2.2917059761491894,-0.9064547412629583,-0.5903085622965399,-0.20931134352095296,0.29308529937906275,-0.2738481860801449,-1.0764040462640334,0.27989483128800596,0.002100909851710714,0.5307970875015878,-0.04769660090128065,0.011115134926517278,-0.08930717350891111,-0.00030011131756958005,0.1689086666638619,-0.0006751163918727324
Antonio Rukavina,-0.5734595504981779,-0.8565637716005958,0.07848901451678592,-0.09838339384519536,0.0524910361397867,0.1546609247512583,0.030510716566120047,0.03146810597199629,-0.09007905822944062,-0.09011669839399561,0.06798460267274163,-0.10158742953292829,-0.19693954943773678,-0.003181407052576457,-0.056458799589376656,0.0703788772972819
Arda Turan,0.5813124672772779,-0.5833329741823134,-1.4738082848053242,-0.3292150189185471,0.7620547460643027,-0.5503326817962525,0.18875764359336789,-0.028470564380608878,-0.29266072272662774,-0.09692462981737035,0.026537712501613697,-0.06756827501870372,0.16289290762846667,-0.02306576045033228,0.00938755110652029,0.025074710495380594
Aritz Aduriz Zubeldia,0.2643843223705716,2.539721930167236,-0.0068025488460315775,-0.12315461472009549,0.021103709421209843,0.41381840926039726,-0.32456450216975224,-0.22193067730466806,0.15502208179997948,-0.1853966986720432,-0.13756228217466998,-0.20617438789233233,-0.11082115199977947,-0.002127440503600778,-0.013738574085211468,-0.024354580019162308
Aritz Elustondo Irribaria,0.45645399897273525,-0.8038474899881866,0.4245525571455514,-0.021896547127977607,-0.14307698930516977,0.2833689164662024,-0.055209833523206846,0.2789704763274244,0.020350215859227805,0.03254375125917384,0.0601339764045504,0.05204131084796085,-0.13340967856952535,-0.12422062932862284,-0.040666172305408865,0.043907750837322394
Armindo Tué Na Bangna,-0.24315978259262486,0.5881158466572307,-0.8596249827449729,-0.2891180664735046,-0.2294511336625734,-0.7648354881043745,0.6423955255620941,0.5668334809018378,0.27718121770512727,-0.053396501862053296,0.07798924827983111,0.0951776255484368,0.12251183176694973,0.04648019738172039,0.01568167866694244,0.04283442330200536
Arnaldo Antonio Sanabria Ayala,0.2742562549823769,1.7491476346076091,0.4008180589304102,-0.5149163035275189,0.09549559324525693,-0.0014723576628274662,0.3243831169136961,-0.6012305860635735,-0.29979675526403604,-0.10047400837356142,0.054295086068028804,-0.0957728935250981,0.07148267624156117,0.009695786959734574,0.03381892056808791,-0.0056010541656586295
Arthur Etienne Boka,0.9945138979729211,-0.8078105366555669,-0.04273586978225727,-0.04826116201127167,-0.31003515179820745,-0.2379653294657057,-0.0314541912530759,0.36848057182585087,-0.07188375973112861,0.05273893828141378,0.11111077444674224,0.12884662047344456,-0.1545283826593396,0.13536585677068463,-0.03484109606525874,0.06215168752783499
Asier Illarramendi Andonegi,1.9504753191158821,-0.996991440697145,0.8271606383247894,0.09196283315735901,-0.17191852009695335,0.5973367397320245,0.19521265314117214,0.021526010529961597,0.05991150951040783,-0.19697743596540535,0.27503538018964485,-0.06418734946451722,0.05803645703833346,0.013237110773943178,0.0332721338952197,-0.021244931489440108
Asier Riesgo Unamuno,-3.3115498337330513,-0.4223470626918539,-0.19441772687543246,0.8451380542874345,-1.095678272691724,0.335514743259002,-1.5005214206746107,0.061694323803931285,0.009493053247173422,0.45917539789541323,-0.20925051379533438,0.03263394647608931,-0.07874700340853807,-0.00035179429759617047,0.12471611544145092,-0.011787855278437244
Augusto Matías Fernández,1.8788084341180136,-1.3458786934840457,0.23228933506528285,-0.28593794305795456,0.29972208916672577,0.4405729025243244,0.3602602974617963,0.06361137347471348,-0.06816179194537837,-0.03753243682209055,-0.2464303305558719,-0.1447475253540807,0.133413490066102,0.008756252793474235,0.013034618441512921,-0.042648763918357556
Aymen Abdennour,-0.17152207311834092,-1.238392917625164,-0.08881673600258384,-0.2702109656069652,0.22833264194698277,0.506272185333887,0.3554405078003345,0.21389729985718728,0.10413102764296508,0.00789093048039405,-0.04908768214601595,0.0406767981633659,0.017571859666415383,0.0682356569409491,-0.01686616510791476,-0.048191271237961054
Aymeric Laporte,0.6140701276287618,-0.9054854849567281,0.022763665849270417,-0.24521210813497515,0.2647614145643544,0.515982820644966,-0.29636218411729787,0.18520313983106518,0.10794729603019658,0.2254914908075724,0.19597547329969917,0.2920097687830696,-0.05335035647224225,0.07631453634462376,-0.0365125563723714,-0.05058654315447731
