Player,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16
Juan Francisco Moreno Fuertes,-0.06528922,0.05948227,0.08672854,0.35394865,-0.016634183,-0.027622052,-0.08134729,-0.00471399,-0.44969663,0.24554595,-0.2814876,-0.08485774,0.030991077,-0.034063675,-0.029510727,0.35082874
Juan Francisco Torres Belén,-0.0815622,0.0399884,0.18992893,0.40208328,-0.03030557,-0.018271053,-0.08919952,0.00015854441,-0.018829416,0.18443663,-0.4413345,-0.08317942,0.009089865,-0.03055286,-0.030063678,0.6426314
Juan Isaac Cuenca López,0.13945343,-0.045646988,-0.01864382,0.35732082,0.091519184,0.03698783,0.09095013,0.06460908,0.5832374,-0.19964446,0.17018187,0.10474233,-0.004512219,0.08705375,-0.004825918,-0.19991042
Juan Manuel Vargas Risco,-0.06357461,0.093816124,0.24278946,-0.10093393,-0.02259631,-0.06630263,-0.12623784,0.0026119873,-0.36020717,0.29310402,-0.24637885,-0.19722389,0.035744023,-0.009906518,0.03621729,0.25612903
Juan Pablo Añor Acosta,0.11433587,-0.014347891,-0.0012369038,0.57781994,0.05873314,0.0107028885,0.03097955,0.05437625,0.31256875,0.16737452,0.030897677,0.25451198,0.013074728,0.09322004,0.022979947,-0.41403508
Juan Rafael Fuentes Hernández,0.018640678,-0.040060513,0.4390145,-0.031377573,0.009926298,0.0016832441,0.00032783003,-0.000532393,-0.06494075,0.10856767,0.3702531,0.04932359,-0.033074666,0.0503271,0.004723295,0.92399865
Juan Torres Ruiz,0.069315895,-0.0075869816,0.109969206,-0.1394203,0.030889532,-0.018585721,-0.0099829035,0.035596415,-0.6927099,0.067566104,0.096673764,-0.201062,0.007745282,0.07669842,0.06741364,0.72439224
Jérémy Mathieu,0.070129454,-0.01072166,0.11632083,-0.36804238,0.060951225,0.054314714,0.062338416,0.008371316,0.753731,-0.12958118,-0.1752741,0.034633566,0.008887351,0.026310677,0.037585746,0.8714808
Karim Benzema,0.10991488,-0.022547498,-0.87206227,-0.68998593,0.012177568,-0.01955708,-0.011956518,0.013575808,0.42912942,0.37185764,-0.008757024,0.38129172,0.023657655,0.11149503,0.1261306,-1.2379724
Kevin Gameiro,0.13445614,-0.062819816,-0.25329337,-0.5246879,0.06875502,0.055126574,0.10254886,0.04488916,-0.08294382,-0.045865104,0.3618803,0.46864522,0.013027283,0.07609246,0.055760045,-1.1052854
Keylor Navas Gamboa,0.08731314,-0.06822872,-0.60626364,-0.31650874,-0.010363295,0.1351922,0.083844446,0.0154501125,-0.2627261,-0.18068382,1.5153557,-0.23210993,-0.025581045,0.04655611,0.014526644,1.0140837
Kléper Laveran Lima Ferreira,0.058356132,0.00870249,-0.029665062,-0.1864123,0.068255514,0.042494196,0.02090479,0.045131166,0.3626708,0.11301635,-0.6572815,-0.018044781,0.0125081455,0.04076446,0.09042031,0.92966205
Laureano Sanabria Ruiz,-0.03100399,0.004191829,0.14195138,0.23538704,-0.0045634834,-0.023263128,-0.019216891,-0.0026359076,-0.2427013,0.09180882,0.15604837,-0.03787053,-0.0014449771,0.0018270611,-0.014905584,0.7218449
Leonardo Carrilho Baptistão,-0.10580382,0.007704354,0.2077648,0.26973498,-0.069212645,-0.05505393,-0.0333895,-0.017439576,-0.09740557,0.06327819,0.4675323,0.29918867,-0.010469859,-0.07079299,-0.038218394,-0.9587997
Lionel Andrés Messi Cuccittini,0.25098717,-0.10065731,-1.532093,0.49028593,0.09148336,-0.033565454,0.18930124,0.09216731,1.1687524,0.18407555,-1.079929,-0.31081754,-0.088008404,0.2979023,0.22674547,-1.4701165
Lucas Alfonso Orbán Alegre,-0.025309479,0.017481428,0.28633568,0.34934485,0.02416249,-0.0153029505,-0.010557983,-0.002955181,-0.30427808,0.07613827,-0.15022068,-0.06738975,-0.013014426,-0.009094081,-0.010740126,0.68265665
Lucas Hernández Pi,0.012823892,-0.07233461,0.26437744,-0.20756957,-0.016114388,-0.009620704,0.070965126,-0.027797103,-0.50758994,-0.17505649,0.4178595,0.058635782,-0.037715204,0.016312677,-0.020369295,0.57857794
Lucas Pérez Martínez,0.056579366,-0.0006582133,-0.13049635,-0.74755317,0.016814046,-0.009125895,0.006402368,-0.031703595,-0.00014664067,0.13685042,-0.2757376,0.27182996,0.0149610825,0.031289227,0.07438747,-1.1988555
Lucas Vázquez Iglesias,0.043450005,0.024038969,-0.06399043,-0.06555203,-0.016176764,-0.042769976,-0.019061606,-0.007333129,0.673683,-0.12191553,-0.1612164,-0.055229016,0.005038977,0.027958931,0.001670972,-0.38520336
Luciano Vietto,0.04392599,-0.022529814,0.30058646,-0.081714354,0.024295047,-0.0039928234,0.06472435,-0.0026574964,0.51056504,-0.15287243,0.23561323,0.27916473,-3.7664645e-06,0.016705438,-0.0320595,-0.5201459
Luis Alberto Romero Alconchel,-0.03717749,0.07310556,0.07803569,0.011834366,-0.013348884,-0.045561627,-0.085919924,-0.037692126,0.2944184,0.37528154,-0.12377067,0.032042503,0.04411589,0.0124984905,0.024157573,-1.2068115
Luis Alberto Suárez Díaz,0.10287788,0.0074404273,-0.9842706,-0.288706,0.044494614,-0.048793867,0.009680103,0.043167867,0.3961102,0.27452216,-0.32917115,-0.10838374,-0.024722705,0.11371044,0.16136307,-1.4875196
Luis Carlos Correia Pinto,-0.14148366,0.02667311,0.08532416,0.5565013,-0.096713945,-0.056675535,-0.07083193,-0.043782033,-0.09211633,0.14623013,0.41327903,0.043123573,-0.007061399,-0.06657863,-0.07876504,0.03590856
Luis Hernández Rodríguez,0.16865261,-0.023351172,-0.4125606,0.04526353,0.12783237,0.04658105,0.09942542,0.049081907,-0.83095974,-0.018968057,-0.2054267,-0.3086584,0.027863383,0.110346705,0.10398564,1.0276923
